"","region","subtype","market","coveragetype","price","cluster"
"28166","FLORIDA","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",130,1
"58928","MIDWEST","EL TR GEARED","PRIVATE RESIDENTIAL - COMFORT","PLATINUM",360,2
"25338","FLORIDA","EL MR HIGH","PRIVATE RESIDENTIAL - COMFORT","GOLD",743.78,3
"12162","CENTRAL","EL HYDRAULIC","EDUCATION / RELIGION","BRONZE",108,1
"54318","MIDWEST","EL HYDRAULIC","HOTEL / RESTAURANT","PLATINUM",170,4
"38112","MID ATLANTIC","EL TR GEARED","EDUCATION / RELIGION","PLATINUM",200.9,5
"108110","SOUTHWEST","EL TR GEARED","EDUCATION / RELIGION","GOLD",330,6
"83070","SOUTH","EL HYDRAULIC","OFFICE","GOLD",225,4
"113357","SOUTHWEST","EL MACHINE ROOMLESS","OFFICE","GOLD",435,6
"46536","MIDWEST","EL TR GEARED","EDUCATION / RELIGION","GOLD",291.11,6
"85997","SOUTH","EL HY MRL","ENTERTAINMENT / LEISURE","PLATINUM",450,2
"33402","MID ATLANTIC","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",300,5
"84583","SOUTH","EL TR GEARED","OFFICE","MONITORING",13063,2
"63458","NORTHEAST","EL TR GEARED","HOSPITAL / HEALTHCARE","GOLD",430.83,6
"78558","PACIFIC NORTHWEST","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",232.75,7
"12988","CENTRAL","EL TR GEARED","OFFICE","PLATINUM",200,2
"45771","MIDWEST","EL TR GEARED","EDUCATION / RELIGION","PLATINUM",57003.69,2
"68950","NORTHEAST","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM",300,8
"15527","CENTRAL","EL TR GEARLESS","HOTEL / RESTAURANT","GOLD",2071,6
"87765","SOUTH","EL TR GEARED","OFFICE","PLATINUM",447.57,2
"103474","SOUTHWEST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",248,1
"98902","SOUTHEAST","EL HYDRAULIC","HOSPITAL / HEALTHCARE","GOLD",150,1
"5538","CALIFORNIA","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM",212,5
"59620","NORTHEAST","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM",58,5
"66637","NORTHEAST","EL TR GEARLESS","EDUCATION / RELIGION","PLATINUM PREMIERE",1877.97,9
"75046","PACIFIC NORTHWEST","EL MR GEARED","OFFICE","PLATINUM PREMIERE",2478.65,9
"102316","SOUTHWEST","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM PREMIERE",322,8
"9608","CALIFORNIA","EL HYDRAULIC","PRIVATE RESIDENTIAL - COMFORT","GOLD",275,7
"18714","CENTRAL","EL TR GEARED","HOSPITAL / HEALTHCARE","PLATINUM PREMIERE",215.27,6
"5001","CALIFORNIA","EL MACHINE ROOMLESS","EDUCATION / RELIGION","PLATINUM PREMIERE",400,3
"50744","MIDWEST","EL HYDRAULIC","OFFICE","BRONZE",70,4
"81474","PACIFIC NORTHWEST","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM",300,8
"88246","SOUTH","EL MR MED","OFFICE","PLATINUM",459,2
"77335","PACIFIC NORTHWEST","EL HYDRAULIC","OFFICE","GOLD",211.12,4
"67183","NORTHEAST","EL TR GEARLESS","MIXED USE BUILDINGS","PLATINUM PREMIERE",641.06,9
"457","CALIFORNIA","EL TR GEARED","MIXED USE BUILDINGS","PLATINUM",200,7
"82852","SOUTH","EL TR GEARED","HOSPITAL / HEALTHCARE","PLATINUM PREMIERE",435.3,2
"25054","FLORIDA","EL HYDRAULIC","OFFICE","GOLD",200,4
"100972","SOUTHEAST","EL MR HIGH","OFFICE","GOLD",350,4
"38233","MID ATLANTIC","EL TR GEARED","MIXED USE BUILDINGS","PLATINUM",493.44,2
"108947","SOUTHWEST","EL TR GEARED","HOSPITAL / HEALTHCARE","PLATINUM PREMIERE",366,6
"67147","NORTHEAST","EL TR GEARLESS","MIXED USE BUILDINGS","PLATINUM PREMIERE",1057,9
"19730","FLORIDA","EL TR GEARLESS","HOTEL / RESTAURANT","GOLD",212,7
"31419","FLORIDA","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM",116,5
"102330","SOUTHWEST","EL TR GEARED","EDUCATION / RELIGION","GOLD",351.51,6
"58901","MIDWEST","EL TR GEARED","OFFICE","PLATINUM",1254.19,2
"2453","CALIFORNIA","INDUSTRIAL LIFT","OFFICE","BRONZE",192,4
"100740","SOUTHEAST","EL TR GEARED","OFFICE","GOLD",325,6
"60477","NORTHEAST","EL TR GEARED","OFFICE","GOLD",420,2
"23737","FLORIDA","EL TR GEARED","HOSPITAL / HEALTHCARE","PLATINUM PREMIERE",292.67,3
"42099","MID ATLANTIC","EL MACHINE ROOMLESS","OFFICE","GOLD",300,4
"77065","PACIFIC NORTHWEST","EL TR GEARED","HOSPITAL / HEALTHCARE","PLATINUM PREMIERE",8185.62,9
"71066","NORTHEAST","EL MR MED","EDUCATION / RELIGION","PLATINUM PREMIERE",491.45,9
"110971","SOUTHWEST","EL HYDRAULIC","HOTEL / RESTAURANT","PLATINUM",225,5
"97440","SOUTHEAST","EL HYDRAULIC","OFFICE","GOLD",77,1
"44371","MIDWEST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",140,1
"46584","MIDWEST","EL TR GEARED","EDUCATION / RELIGION","GOLD",220,4
"10457","CENTRAL","EL TR GEARED","OFFICE","PLATINUM",365,2
"89674","SOUTH","EL TR GEARLESS","OFFICE","GOLD",1069.04,2
"64608","NORTHEAST","EL HY IN-GROUND","EDUCATION / RELIGION","PLATINUM",335,5
"28039","FLORIDA","EL HYDRAULIC","OFFICE","PLATINUM",190,4
"98997","SOUTHEAST","EL HOMELIFT","MIXED USE BUILDINGS","BRONZE",90,1
"64789","NORTHEAST","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",215,7
"76041","PACIFIC NORTHWEST","EL TR GEARED","HOSPITAL / HEALTHCARE","PLATINUM",451.02,2
"3122","CALIFORNIA","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM",13918.77,5
"106295","SOUTHWEST","EL HY TWIN POST","OFFICE","GOLD",209.32,4
"43884","MID ATLANTIC","EL HYDRAULIC","HOTEL / RESTAURANT","PLATINUM",240,5
"88986","SOUTH","EL HY MRL","RETAIL","GOLD",233,7
"81570","PACIFIC NORTHWEST","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM",208,5
"43555","MID ATLANTIC","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM PREMIERE",129,5
"97301","SOUTHEAST","PL HY SCISSORS","MIXED USE BUILDINGS","GOLD",229.91,7
"24688","FLORIDA","EL HYDRAULIC","HOSPITAL / HEALTHCARE","PLATINUM",200,3
"74347","PACIFIC NORTHWEST","EL TR GEARED","MIXED USE BUILDINGS","PLATINUM",650,8
"93126","SOUTHEAST","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",115,1
"61044","NORTHEAST","EL TR GEARED","MIXED USE BUILDINGS","PLATINUM",408.86,9
"78162","PACIFIC NORTHWEST","EL HY MRL","HOSPITAL / HEALTHCARE","PLATINUM",325,8
"7604","CALIFORNIA","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM",292,5
"98551","SOUTHEAST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",68.8,1
"47561","MIDWEST","EL HYDRAULIC","INDUSTRIAL","BRONZE",150,4
"637","CALIFORNIA","EL HYDRAULIC","MIXED USE BUILDINGS","PLATINUM PREMIERE",400,7
"4702","CALIFORNIA","EL HYDRAULIC","OFFICE","BRONZE",95,4
"79911","PACIFIC NORTHWEST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",275,1
"48707","MIDWEST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",605.78,4
"77266","PACIFIC NORTHWEST","EL MR MED","OFFICE","PLATINUM",192,8
"59808","NORTHEAST","EL TR GEARED","OFFICE","BRONZE",64,2
"55874","MIDWEST","EL HYDRAULIC","HOSPITAL / HEALTHCARE","GOLD",172.2,4
"106755","SOUTHWEST","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM",196.45,5
"107034","SOUTHWEST","EL HOMELIFT","EDUCATION / RELIGION","PLATINUM",109.43,5
"107840","SOUTHWEST","EL HYDRAULIC","PRIVATE RESIDENTIAL - COMFORT","GOLD",156.67,1
"87107","SOUTH","EL TR GEARLESS","OFFICE","PLATINUM",25044.12,2
"37643","MID ATLANTIC","EL HYDRAULIC","EDUCATION / RELIGION","PLATINUM",130,5
"50578","MIDWEST","EL HYDRAULIC","HOTEL / RESTAURANT","PLATINUM PREMIERE",190,4
"42592","MID ATLANTIC","EL HYDRAULIC","OFFICE","BRONZE",65,4
"80791","PACIFIC NORTHWEST","EL HY TELESCOPIC","INDUSTRIAL","GOLD",283.17,6
"40851","MID ATLANTIC","EL HYDRAULIC","HOSPITAL / HEALTHCARE","PLATINUM",300,5
"61337","NORTHEAST","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",215,7
"21372","FLORIDA","EL TR GEARED","HOSPITAL / HEALTHCARE","PLATINUM PREMIERE",400,3
"63943","NORTHEAST","EL HYDRAULIC","MIXED USE BUILDINGS","GOLD",215,7
"48764","MIDWEST","EL TR GEARED","EDUCATION / RELIGION","GOLD",605.78,6
"85579","SOUTH","EL TR GEARED","OFFICE","BRONZE",150,2
"103335","SOUTHWEST","EL HYDRAULIC","EDUCATION / RELIGION","GOLD",125,1
"75619","PACIFIC NORTHWEST","EL HYDRAULIC","PARKING GARAGE","GOLD",350,8
"97665","SOUTHEAST","EL TR GEARED","OFFICE","GOLD",400,2
"75500","PACIFIC NORTHWEST","EL TR GEARED","OFFICE","GOLD",128,4
"2799","CALIFORNIA","EL HY TWIN POST","HOSPITAL / HEALTHCARE","GOLD",225,7
"61065","NORTHEAST","EL HYDRAULIC","HOTEL / RESTAURANT","BRONZE",99.34,1
